topic_id,count,name,example_note,top_keywords
-1,49,-1_projects_project_tasks_implementation,,
0,39,0_situation_mindset_opposite fear_courage disliked,.md,"situation, mindset, opposite fear, courage disliked, suffering, fear surrender, courage, actions, suffer, action"
1,37,1_brain dump_summary_outdated tasks_bom,2026-W15,"brain dump, summary, outdated tasks, bom, dump, finished, brain, todoist, years, completed"
2,27,2_financial_wealth_money_investing,The Psychology of Money,"financial, wealth, money, investing, invest, psychology money, investments, strategy, spending, budget"
3,17,3_optimization_evaluate_dataset_quality,2025-11-23,"optimization, evaluate, dataset, quality, precision, parameters, values, reliable, models, adaptation"
4,15,4_anime_manga_story_really liked,Komi Can't Communicate,"anime, manga, story, really liked, end chapter, love story, good read, liked, scene, character"
5,13,5_games_jogar_game_playing,Games Consuming,"games, jogar, game, playing, play, features, title priority, animanga, game start, consuming books"
6,12,6_workday_weeks_schedule_week year,Weekly review,"workday, weeks, schedule, week year, tasks, complete task, workday shutdown, days, routine, weekly"
7,12,7_book knowledge_knowledge life_apply book_key concepts,The Power of Now,"book knowledge, knowledge life, apply book, key concepts, knowledge, concepts, life theme, life takeaways, meditations, help people"
8,7,8_reading_books backlog_analytical reading_syntopical reading,Books Consuming,"reading, books backlog, analytical reading, syntopical reading, conceptual learning, author, memory, subject, retrieval, goodbye things"
